Experiment,Kamera,NVS_lD,SceneID,weight,Basisszenario,FS-Art,besondere Merkmale,FS-Breite,Parken,Verkehrsaufkommen,raus
SE,C,64,01_SE_C_64,6,4,Einbahnstraße,Fahrradstraße-Sondermarkierung,schmal,nein,normal,
SE,C,65,01_SE_C_65,6,4,Einbahnstraße,Fahrradstraße-Hollandaise,schmal,nein,autofrei,
SE,C,66,01_SE_C_66,6,4,Einbahnstraße-Gegenverkehr,-,schmal,nein,normal,
SE,C,67,01_SE_C_67,6,4,Einbahnstraße-Gegenverkehr,Fahrradstraße,schmal,nein,normal,
SE,C,68,01_SE_C_68,6,4,Einbahnstraße-Gegenverkehr,Spielstraße,schmal,nein,normal,
SE,C,69,01_SE_C_69,6,4,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,schmal,nein,normal,
SE,C,71,01_SE_C_71,6,5,Einbahnstraße,-,schmal,Parken-einseitig,normal,
SE,C,72,01_SE_C_72,6,5,Einbahnstraße,Fahrradstraße,schmal,Parken-einseitig,normal,
SE,C,73,01_SE_C_73,6,5,Einbahnstraße,Spielstraße,schmal,Parken-einseitig,normal,
SE,C,74,01_SE_C_74,6,5,Einbahnstraße,Fahrradstraße-Sondermarkierung,schmal,Parken-einseitig,normal,
SE,C,75,01_SE_C_75,6,5,Einbahnstraße,Fahrradstraße-Hollandaise,schmal,Parken-einseitig,autofrei,
SE,C,76,01_SE_C_76,6,5,Einbahnstraße-Gegenverkehr,-,schmal,Parken-einseitig,normal,
SE,C,77,01_SE_C_77,6,5,Einbahnstraße-Gegenverkehr,Fahrradstraße,schmal,Parken-einseitig,normal,
SE,C,78,01_SE_C_78,6,5,Einbahnstraße-Gegenverkehr,Spielstraße,schmal,Parken-einseitig,normal,
SE,C,79,01_SE_C_79,6,5,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,schmal,Parken-einseitig,normal,
SE,C,81,01_SE_C_81,6,6,Einbahnstraße,-,schmal,Parken-beidseitig,normal,
SE,C,82,01_SE_C_82,6,6,Einbahnstraße,Fahrradstraße,schmal,Parken-beidseitig,normal,
SE,C,83,01_SE_C_83,6,6,Einbahnstraße,Spielstraße,schmal,Parken-beidseitig,normal,
SE,C,84,01_SE_C_84,6,6,Einbahnstraße,Fahrradstraße-Sondermarkierung,schmal,Parken-beidseitig,normal,
SE,C,85,01_SE_C_85,6,6,Einbahnstraße,Fahrradstraße-Hollandaise,schmal,Parken-beidseitig,autofrei,
SE,C,86,01_SE_C_86,6,6,Einbahnstraße-Gegenverkehr,-,schmal,Parken-beidseitig,normal,
SE,C,87,01_SE_C_87,6,6,Einbahnstraße-Gegenverkehr,Fahrradstraße,schmal,Parken-beidseitig,normal,
SE,C,88,01_SE_C_88,6,6,Einbahnstraße-Gegenverkehr,Spielstraße,schmal,Parken-beidseitig,normal,
SE,C,89,01_SE_C_89,6,6,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,schmal,Parken-beidseitig,normal,
SE,A,1,01_SE_A_1,6,1,KFZ,-,breit,nein,normal,
SE,A,2,01_SE_A_2,6,1,KFZ,Fahrradstraße,breit,nein,normal,
